index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold,Primary Author,Total Revenue,Publisher Profit,Rating Category
317,2001,The Bonesetter's Daughter,Amy Tan,en-US,Intermediate,3.98,99926,nonfiction,263.34,0.0,0.99,340,"Amazon Digital Services,  Inc.",266,Amy Tan,263.34,0.0,Good (3.5-4.0)
318,1999,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,eng,Intermediate,3.74,112733,Fiction,997.5,0.0,3.75,340,"Amazon Digital Services,  Inc.",266,Louise Rennison,997.5,0.0,Good (3.5-4.0)
319,2012,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,eng,Intermediate,3.75,110552,Fiction,1719.85,1031.91,6.49,341,Hachette Book Group,265,Robin Sloan,1719.85,1031.91,Good (3.5-4.0)
320,1979,Flowers in the Attic,V.C. Andrews,eng,Intermediate,3.79,109063,children,1877.82,1126.692,7.14,342,"Amazon Digital Services,  Inc.",263,V.C. Andrews,1877.82,1126.692,Good (3.5-4.0)
321,2016,When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",eng,Excellent,4.32,116771,Fiction,1041.39,0.0,3.99,343,"Amazon Digital Services,  Inc.",261,Paul Kalanithi,1041.39,0.0,Very Good (4.0-4.5)
322,1990,Maniac Magee,Jerry Spinelli,eng,Intermediate,3.86,99831,Fiction,777.4,0.0,2.99,344,"Amazon Digital Services,  Inc.",260,Jerry Spinelli,777.4,0.0,Good (3.5-4.0)
323,1999,Invisible Monsters,Chuck Palahniuk,eng,Intermediate,4.0,54937,Fiction,771.42,462.852,2.99,345,Simon and Schuster Digital Sales Inc,258,Chuck Palahniuk,771.42,462.852,Good (3.5-4.0)
324,1601,"Twelfth Night; or, What You Will",William Shakespeare,eng,Intermediate,3.97,119607,Fiction,1527.45,916.47,5.99,347,Penguin Group (USA) LLC,255,William Shakespeare,1527.45,916.47,Good (3.5-4.0)
325,2000,Gathering Blue,Lois Lowry,eng,Intermediate,3.8,114917,Fiction,997.5,0.0,3.99,350,"Amazon Digital Services,  Inc.",250,Lois Lowry,997.5,0.0,Good (3.5-4.0)
326,1978,The Westing Game,Ellen Raskin,eng,Excellent,4.03,117108,Fiction,997.5,598.5,3.99,350,"Amazon Digital Services,  Inc.",250,Ellen Raskin,997.5,598.5,Very Good (4.0-4.5)
327,2014,Red Rising,Pierce Brown,eng,Excellent,4.26,104939,Fiction,246.51,147.906,0.99,351,"Amazon Digital Services,  Inc.",249,Pierce Brown,246.51,147.906,Very Good (4.0-4.5)
328,2008,The Way of Shadows,Brent Weeks,en-US,Excellent,4.15,109236,Fiction,744.51,446.706,2.99,351,Random House LLC,249,Brent Weeks,744.51,446.706,Very Good (4.0-4.5)
329,1988,The Bean Trees,Barbara Kingsolver,eng,Intermediate,3.94,105032,children,1635.93,981.558,6.57,352,"Amazon Digital Services,  Inc.",249,Barbara Kingsolver,1635.93,981.558,Good (3.5-4.0)
330,2013,Walking Disaster,Jamie McGuire,eng,Excellent,4.23,134022,Fiction,3221.52,0.0,12.99,353,"Amazon Digital Services,  Inc.",248,Jamie McGuire,3221.52,0.0,Very Good (4.0-4.5)
331,2014,Words of Radiance,Brandon Sanderson,eng,Famous,4.77,73572,Fiction,741.52,444.912,2.99,354,HarperCollins Publishers,248,Brandon Sanderson,741.52,444.912,Excellent (4.5-5.0)
332,1988,Guess How Much I Love You,"Sam McBratney, Anita Jeram",en-US,Excellent,4.36,104690,Fiction,738.53,0.0,2.99,355,"Amazon Digital Services,  Inc.",247,Sam McBratney,738.53,0.0,Very Good (4.0-4.5)
333,2001,The Fiery Cross,Diana Gabaldon,eng,Excellent,4.26,103552,Fiction,1141.14,684.684,4.62,356,Penguin Group (USA) LLC,247,Diana Gabaldon,1141.14,684.684,Very Good (4.0-4.5)
334,1978,Night Shift,"Stephen King, John D. MacDonald",en-GB,Intermediate,3.96,104248,Fiction,244.53,146.718,0.99,356,"Amazon Digital Services,  Inc.",247,Stephen King,244.53,146.718,Good (3.5-4.0)
335,1974,Jaws,Peter Benchley,eng,Intermediate,3.96,102574,Fiction,1227.54,736.524,4.99,357,Simon and Schuster Digital Sales Inc,246,Peter Benchley,1227.54,736.524,Good (3.5-4.0)
336,2005,The History of Love,Nicole Krauss,eng,Intermediate,3.91,98379,Fiction,977.55,0.0,3.99,359,"Amazon Digital Services,  Inc.",245,Nicole Krauss,977.55,0.0,Good (3.5-4.0)
337,1945,Pippi L̴ngstrump,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",eng,Excellent,4.11,123065,Fiction,977.55,586.53,3.99,360,"Amazon Digital Services,  Inc.",245,Astrid Lindgren,977.55,586.53,Very Good (4.0-4.5)
338,2006,L'̩l̩gance du h̩risson,"Muriel Barbery, Alison Anderson",eng,Intermediate,3.73,101669,Fiction,1698.57,1019.142,6.99,363,Hachette Book Group,243,Muriel Barbery,1698.57,1019.142,Good (3.5-4.0)
339,2005,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",eng,Excellent,4.3,102923,Fiction,726.57,435.942,2.99,364,"Amazon Digital Services,  Inc.",243,Doris Kearns Goodwin,726.57,435.942,Very Good (4.0-4.5)
340,2010,Dead in the Family,Charlaine Harris,en-US,Intermediate,3.88,127379,Fiction,1494.45,896.67,6.15,364,"Amazon Digital Services,  Inc.",243,Charlaine Harris,1494.45,896.67,Good (3.5-4.0)
